qc_id,medidor,ilicito,mt,anom_slect,anom_clect,comentario,fecha,hora,lat y,lon x,icon_url
"377",m810ll,NO,SI,NA,NA,,2021/11/01,12:02:22,25.67618,-100.34195,./0.png
"378",mm328y,NO,NO,NA,C5-SinSello,,2021/11/01,12:40:47,25.68301,-100.34403,./0.png
"379",mm328y,NO,NO,NA,C5-SinSello,,2021/11/01,12:49:39,25.68301,-100.34339,./0.png
"380",mn136x,NO,NO,NA,NA,ok,2021/11/01,12:32:20,25.68363,-100.34305,./0.png
"381",mn870x,NO,NO,NA,NA,,2021/11/01,12:41:53,25.68328,-100.34187,./0.png
"382",mp245v,NO,NO,NA,NA,,2021/11/01,1:43:21,25.67788,-100.33846,./0.png
"383",mp248v,NO,NO,NA,C5-SinSello,,2021/11/01,12:38:49,25.68342,-100.34174,./0.png
"384",mp261v,NO,NO,NA,NA,ok,2021/11/01,12:39:01,25.68342,-100.34174,./0.png
"385",mp434c,NO,NO,NA,NA,ok,2021/11/01,1:09:35,25.68232,-100.34487,./0.png
"386",mr489b,NO,NO,NA,NA,ok,2021/11/01,12:39:26,25.68342,-100.34174,./0.png
"387",mt066b,NO,NO,NA,NA,ok,2021/11/01,12:54:32,25.6816,-100.34417,./0.png
"388",mt156d,NO,NO,NA,NA,,2021/11/01,1:43:09,25.67788,-100.33846,./0.png
"389",mt412h,NO,NO,NA,NA,,2021/11/01,1:43:27,25.67807,-100.33834,./0.png
"390",mt431h,NO,NO,NA,NA,,2021/11/01,1:43:38,25.67788,-100.33846,./0.png
"391",n165bc,NO,NO,NA,NA,ok,2021/11/01,1:51:44,25.68211,-100.34582,./0.png
"392",n167bc,NO,NO,NA,NA,,2021/11/01,1:54:47,25.68205,-100.34586,./0.png
"393",n187fa,NO,NO,NA,NA,,2021/11/01,2:26:32,25.67686,-100.33815,./0.png
"394",n426bc,NO,NO,NA,NA,,2021/11/01,1:27:27,25.67721,-100.33951,./0.png
"395",n601hh,NO,NO,NA,NA,,2021/11/01,12:42:07,25.68342,-100.34161,./0.png
"396",n8r510,NO,NO,NA,NA,,2021/11/01,2:27:45,25.67694,-100.33829,./0.png
"397",n903bj,NO,NO,NA,C5-SinSello,,2021/11/01,12:44:01,25.68287,-100.34367,./0.png
"398",n903bj,NO,NO,NA,C5-SinSello,,2021/11/01,12:47:31,25.68401,-100.34176,./0.png
"399",n956hj,NO,NO,NA,NA,,2021/11/01,1:14:18,25.67733,-100.34075,./0.png
